15.167, 3.146
15.234, 3.149
15.300, 3.151
15.367, 3.152
15.434, 3.150
15.500, 3.148
15.567, 3.146
15.634, 3.145
15.700, 3.142
15.767, 3.141
15.834, 3.140
15.900, 3.141
15.967, 3.146
16.034, 3.156
16.100, 3.183
16.167, 3.228
16.234, 3.317
16.301, 3.488
16.367, 3.804
16.434, 4.054
16.500, 3.968
16.567, 3.994
16.634, 3.746
16.700, 3.449
16.767, 3.302
16.834, 3.240
16.900, 3.195
16.967, 3.164
17.034, 3.154
17.100, 3.155
17.167, 3.153
17.234, 3.165
17.300, 3.170
17.367, 3.186
17.434, 3.176
17.500, 3.148
17.567, 3.108
17.634, 3.070
17.700, 3.049
17.767, 3.030
17.834, 3.019
17.900, 3.015
17.967, 3.022
18.034, 3.029
18.100, 3.038
18.167, 3.062
18.234, 3.086
18.300, 3.075
18.367, 3.043
18.434, 3.004
18.500, 2.965
18.567, 2.939
18.634, 2.923
18.701, 2.915
18.767, 2.913
18.834, 2.913
18.901, 2.918
18.967, 2.931
19.034, 2.953
19.101, 2.973
19.167, 2.967
19.234, 2.924
19.300, 2.889
19.367, 2.873
19.434, 2.871
19.500, 2.879
19.567, 2.898
19.633, 3.540
19.700, 3.508
19.767, 2.425
19.834, 2.571
19.900, 2.691
19.967, 2.800
20.034, 2.876
20.100, 3.009
20.167, -3.248
20.234, -3.110
